Valle Tempe_39.877, 22.566_1
Forche Caudine_41.158789, 14.531002_1
Anxur_41.283333, 13.25_1
Lago (Egitto)_31.2, 29.916667_3
Minturno _41.223109, 13.76238_5
Sacriporto_41.833333, 12.9_2
Foloe_37.783333, 21.716667_1
Flegra_40.022928, 23.433411_10
Candavia_41.116667, 20.8_1
Piana di Vic_41.931111, 2.255833_1
Sant Jeroni_41.605278, 1.811389_6
Palamno_41.324167, 19.455833_5
Ramnunte_38.223333, 24.027222_2
Iapigi_41.72707, 15.77261_4
Anfipoli_40.816667, 23.85_2
Lago Mareotide_31.153056, 29.898611_9

